tempo,x,y,referencia,ang_control,angulo
1541268296.788244,255,18,160,0,123.78308007335261
1541268296.8163626,254.8,18,160,0,123.72729674719459
1541268296.8443835,254.4,18,160,0,123.61551222711826
1541268296.8733292,253.4,18,160,0,123.3347784079895
1541268296.902245,251.6,17,160,0,122.64197678404697
1541268296.9273508,247.8,15,160,0,121.19562810926485
1541268296.9561763,241.2,14,160,0,119.08125329692896
1541268296.9821317,231.8,13,160,0,116.03251962761928
1541268297.0157166,219.6,13,160,0,112.06970899804874
1541268297.044495,205.2,12,160,0,106.98295461394552
1541268297.0738518,190.2,11,160,0,101.45775407460779
1541268297.1016295,178,11,160,0,96.88825827699469
1541268297.1345506,166.4,11,160,0,92.45951494399633
1541268297.1618004,155.8,11,160,0,88.38537872812141
1541268297.1919894,146.6,11,160,0,84.86104992219168
1541268297.2216914,138.6,11,160,0,81.8268343097115
1541268297.250343,129.2,10,160,0,78.39654663312345
1541268297.2766035,121,10,160,0,75.42578380196126
1541268297.3007765,113.6,11,160,0,72.70292069159925
1541268297.3285184,107.2,11,160,0,70.48758651489047
1541268297.3564727,101.6,11,160,0,68.59748715181959
1541268297.3848622,97.4,11,160,0,67.21105708821347
1541268297.4119868,93.8,11,160,0,66.04464712944683
1541268297.439867,91,11,160,0,65.15174703421188
1541268297.4686303,88.4,11,160,0,64.3339971093024
1541268297.495482,86,11,160,0,63.588969364594355
1541268297.5269954,83.2,12,160,0,62.574347333088085
1541268297.559245,80.8,12,160,0,61.8471994364671
1541268297.5873954,78.6,12,160,0,61.18920625702693
1541268297.6163087,77,12,160,0,60.715820451456885
1541268297.646584,75.8,12,160,0,60.36363330723667
1541268297.6791465,75,12,160,0,60.130200777047996
1541268297.7089083,74.4,12,160,0,59.95583993007403
1541268297.7435246,74.2,12,160,0,59.89785556662679
1541268297.772811,74.2,12,160,0,59.89785556662679
1541268297.7990353,74.4,12,160,0,59.95583993007403
1541268297.824319,74.6,12,160,0,60.013892252956325
1541268297.8491194,74.8,12,160,0,60.072012535418935
1541268297.8756726,75.2,12,160,0,60.18845697686792
1541268297.9031894,75.6,12,160,0,60.30517324435386
1541268297.9300644,76.6,11,160,0,60.76288436506673
1541268297.9543617,78,11,160,0,61.17444691178074
1541268297.9806416,79.8,11,160,0,61.7084174294825
1541268298.0059502,81.4,11,160,0,62.18760106524712
1541268298.0341716,83.4,11,160,0,62.79257778405469
1541268298.0614822,85.6,11,160,0,63.46571991529821
1541268298.0883894,88.4,11,160,0,64.3339971093024
1541268298.1128225,92,10,160,0,65.61362889819861
1541268298.1393163,97.2,10,160,0,67.28256428239501
1541268298.162445,104.2,10,160,0,69.5947989589224
1541268298.1904428,110.4,10,160,0,71.70267087923014
1541268298.2174659,117.8,10,160,0,74.28693761564242
1541268298.2432675,126.2,11,160,0,77.21900463007375
1541268298.2664936,135,11,160,0,80.47533202821
1541268298.2922864,143.8,11,160,0,83.79489973264134
1541268298.3171525,152.6,11,160,0,87.15677391875438
1541268298.3435078,161.4,12,160,0,90.54197093845323
1541268298.3703892,169.8,12,160,0,93.78837935681621
1541268298.396091,177.8,12,160,0,96.85803844650887
1541268298.422374,184.8,13,160,0,99.57605430735138
1541268298.4478822,193,13,160,0,102.65255650055796
1541268298.4726274,199,13,160,0,104.85861444792467
1541268298.4990516,204,13,160,0,106.66347908288793
1541268298.5254896,208.2,14,160,0,108.2699676019747
1541268298.5484939,211.8,14,160,0,109.53440619290747
1541268298.5740204,215,14,160,0,110.6420103156372
1541268298.5988815,218.2,14,160,0,111.73371601653409
1541268298.6263108,221.2,14,160,0,112.74236302662986
1541268298.6533813,223.8,15,160,0,113.74949449286676
1541268298.6766431,225.8,15,160,0,114.40821937163254
1541268298.7019145,227,14,160,0,114.65058472262467
1541268298.7257307,228.2,14,160,0,115.03837348740826
1541268298.7524455,228.8,14,160,0,115.23135489422646
1541268298.7796783,229,15,160,0,115.44800482675942
1541268298.805784,229.6,15,160,0,115.64100582430527
1541268298.8307135,230.8,15,160,0,116.0251401896954
1541268298.8564348,232.8,15,160,0,116.65980706562911
1541268298.8815346,234.8,15,160,0,117.28749256440267
1541268298.9091456,237.6,15,160,0,118.15446095462285
1541268298.9363713,240.2,15,160,0,118.94713265745041
1541268298.963328,242.4,16,160,0,119.77914910356984
1541268298.9886706,244,16,160,0,120.25643716352926
1541268299.0145493,245.6,16,160,0,120.72913139181603
1541268299.0385342,246.4,15,160,0,120.78911031566345
1541268299.0649698,246.8,15,160,0,120.90561186001713
1541268299.0914934,246.8,15,160,0,120.90561186001713
1541268299.116817,246.2,15,160,0,120.73075342648704
1541268299.1418798,245.4,15,160,0,120.49661825269649
1541268299.1693792,244.4,15,160,0,120.202356728702
1541268299.1933563,243,15,160,0,119.7874171313795
1541268299.2192297,241.8,15,160,0,119.42899359578222
1541268299.2454932,239.6,14,160,0,118.5994602843547
1541268299.27179,235.6,14,160,0,117.37549237128988
1541268299.298696,229.4,13,160,0,115.27241034896663
1541268299.3241363,221.2,12,160,0,112.46575563414962
1541268299.3488479,213,12,160,0,109.70285766141272
1541268299.3763502,203.6,12,160,0,106.41468844339855
1541268299.4036016,193.8,11,160,0,102.78099536992625
1541268299.4297967,184,11,160,0,99.15025677801488
1541268299.455037,174.4,11,160,0,95.5201664938298
1541268299.4802349,162.6,10,160,0,90.99302740300448
1541268299.504625,153.4,10,160,0,87.48061070879373
1541268299.5321636,145,10,160,0,84.28940686250037
1541268299.5596433,137.6,10,160,0,81.50659470003666
1541268299.5844696,131,10,160,0,79.05781459099063
1541268299.6111968,125.6,10,160,0,77.08351884181857
1541268299.6379333,119.6,10,160,0,74.92603266107407
1541268299.6626158,114.8,10,160,0,73.2306949308921
1541268299.6896496,111.4,10,160,0,72.04767569063972
1541268299.7174342,109.2,10,160,0,71.29047286609267
1541268299.7425635,107.8,11,160,0,70.69282704624841
1541268299.769241,106.6,11,160,0,70.28286571410757
1541268299.7952335,105.8,11,160,0,70.01071869856654
1541268299.8183634,104.6,11,160,0,69.6042576769358
1541268299.845235,103.6,11,160,0,69.26716848134957
1541268299.8712142,102.6,11,160,0,68.93157398863241
1541268299.896726,101.6,11,160,0,68.59748715181959
1541268299.9199173,100.4,11,160,0,68.1985905136482
1541268299.9498181,99.6,11,160,0,67.93388563090633
1541268299.9757328,98.6,12,160,0,67.46815538331164
1541268300.0033772,97.4,12,160,0,67.07295143203633
1541268300.0304945,96.2,12,160,0,66.68004008443135
1541268300.0576649,94.8,12,160,0,66.22456338289264
1541268300.0814545,93,12,160,0,65.64360874720361
1541268300.109001,91.4,12,160,0,65.13163980022199
1541268300.1349895,90.2,12,160,0,64.75042169956137
1541268300.1608994,89.4,12,160,0,64.49759646837012
1541268300.187936,89,12,160,0,64.37158112178246
1541268300.2148428,89,12,160,0,64.37158112178246
1541268300.2379873,89,12,160,0,64.37158112178246
1541268300.2632282,89,12,160,0,64.37158112178246
1541268300.287716,89,12,160,0,64.37158112178246
1541268300.3156018,89,12,160,0,64.37158112178246
1541268300.3427403,89.2,12,160,0,64.43455564874247
1541268300.370775,89.8,12,160,0,64.62387679232015
1541268300.3939748,90.8,12,160,0,64.94073426256865
1541268300.421252,92,12,160,0,65.32313682966294
1541268300.4442518,93.8,11,160,0,66.04464712944683
1541268300.471749,95.4,11,160,0,66.56051661932428
1541268300.5000012,97.2,11,160,0,67.14571975487013
1541268300.527409,99.4,11,160,0,67.86786352702474
1541268300.5505722,102.6,11,160,0,68.93157398863241
1541268300.5763144,107,11,160,0,70.41928833890289
1541268300.6027627,113,11,160,0,72.49283695153967
1541268300.6286585,118.4,11,160,0,74.40055203553811
1541268300.6563141,125,11,160,0,76.78091509298342
1541268300.6808934,132,11,160,0,79.35712925529643
1541268300.7045074,139.4,11,160,0,82.12847029964426
1541268300.730687,147.4,12,160,0,85.13385003530703
1541268300.7552192,155.4,12,160,0,88.21975834150194
1541268300.7813933,163.4,12,160,0,91.31602291314402
1541268300.8073869,171.6,12,160,0,94.48158821856916
1541268300.8303633,179.2,13,160,0,97.44140548974372
1541268300.8531933,186,13,160,0,100.03021331973284
1541268300.8800845,192.8,13,160,0,102.57832154920636
1541268300.9073255,199,14,160,0,104.95583993007402
1541268300.9341903,205,14,160,0,107.1303015268436
1541268300.9605634,210.8,15,160,0,109.30764536457242
1541268300.9853494,217,15,160,0,111.4599607304857
1541268301.0085924,225,16,160,0,114.29388760258506
1541268301.036085,231.6,16,160,0,116.43758580446533
1541268301.0642498,237.8,16,160,0,118.38136717120688
1541268301.0911345,243.2,17,160,0,120.1916229609576
1541268301.1168792,247.4,17,160,0,121.43280687633379
1541268301.1402714,250,17,160,0,122.18510589189077
1541268301.162934,252.8,17,160,0,122.98159741332313
1541268301.1903355,254.4,17,160,0,123.43039273769594
1541268301.2172942,255.6,17,160,0,123.76397368236258
1541268301.2429135,256.2,17,160,0,123.92979742206063
1541268301.2666972,256.6,17,160,0,124.0399891833022
1541268301.2925277,256.8,17,160,0,124.09497795476555
1541268301.3169231,257,17,160,0,124.14989537020261
1541268301.3431802,257,17,160,0,124.14989537020261
1541268301.3696227,257,18,160,0,124.3369278747316
1541268301.3928914,257,17,160,0,124.14989537020261
1541268301.419806,256.8,17,160,0,124.09497795476555
1541268301.4477189,256.6,17,160,0,124.0399891833022
1541268301.4734147,256.2,17,160,0,123.92979742206063
1541268301.5000553,255.2,17,160,0,123.65306670483145
1541268301.5256605,253.8,17,160,0,123.26263370115757
1541268301.5491173,251.6,16,160,0,122.46089285189541
1541268301.5779,247.6,15,160,0,121.13776626082827
1541268301.6086037,242,14,160,0,119.32047587758075
1541268301.6410403,235.4,14,160,0,117.31356531888348
1541268301.671594,227.2,13,160,0,114.5671713206013
1541268301.7032697,218.4,13,160,0,111.66688101905038
1541268301.7340045,210.2,12,160,0,108.73638073783094
1541268301.7651749,202.4,12,160,0,105.9862922390976
1541268301.7938912,195,12,160,0,103.30523650609109
1541268301.8263469,189.6,12,160,0,101.30993247402021
1541268301.858433,182.4,11,160,0,98.54956837230579
1541268301.8884242,174.8,11,160,0,95.67251779786721
1541268301.9201384,167,11,160,0,92.68977032315047
1541268301.9523437,158.8,10,160,0,89.54164354199958
1541268301.9848526,150.6,10,160,0,86.4141535839988
1541268302.0147288,142.2,10,160,0,83.23254833436751
1541268302.0448487,133.8,10,160,0,80.09228662050005
1541268302.076923,125.6,10,160,0,77.08351884181857
1541268302.1057236,118.2,11,160,0,74.32923115391225
1541268302.1389525,110.8,11,160,0,71.72670752224155
1541268302.1706173,105.8,11,160,0,70.01071869856654
1541268302.2018409,101.8,11,160,0,68.66418330267176
1541268302.232503,98.8,11,160,0,67.6701685167775
1541268302.2640326,96.4,11,160,0,66.88499866608457
1541268302.2984226,94,11,160,0,66.1089075984526
1541268302.3234897,91,11,160,0,65.15174703421188
1541268302.3480477,88.6,11,160,0,64.39650941293239
1541268302.3747487,86.2,11,160,0,63.65069307308407
1541268302.40205,83.8,11,160,0,62.91437081704765
1541268302.4258783,81.2,11,160,0,62.12746960390921
1541268302.4521742,80.2,11,160,0,61.82781284544495
1541268302.4777431,79,11,160,0,61.47042843960859
1541268302.502954,78.2,11,160,0,61.23350939231291
1541268302.5280318,77.4,11,160,0,60.99766113569682
1541268302.550372,76.6,11,160,0,60.76288436506673
1541268302.577098,75.8,11,160,0,60.529179625501925
1541268302.6016314,75,11,160,0,60.29654731443007
1541268302.6284037,74.2,11,160,0,60.064987684208624
