x,y,referencia,ang_control,angulo
193,30,160,0,104.24346057354782
195.4,30,160,0,105.23274045415803
197.8,30,160,0,106.21280526789408
200.6,30,160,0,107.34398595401396
203.4,30,160,0,108.46138895926073
206.2,30,160,0,109.5644304229141
208.2,30,160,0,110.34323053908923
210.2,30,160,0,111.11425957649632
211.4,30,160,0,111.57308001156137
211.8,30,160,0,111.72538009956348
211.4,30,160,0,111.57308001156137
211.2,30,160,0,111.49680959409481
211.2,31,160,0,111.64808959672135
211.4,31,160,0,111.72479040991428
211.8,31,160,0,111.87794668302955
212.8,31,160,0,112.25939956791261
214,31,160,0,112.71441235316723
215.6,31,160,0,113.31641677765896
217.6,31,160,0,114.06131730177222
220.6,31,160,0,115.16260979545255
223.2,31,160,0,116.10127230654388
226.2,32,160,0,117.34744025278066
229.2,32,160,0,118.39676424356804
231.8,33,160,0,119.48183501604228
233.4,33,160,0,120.02588320523907
235,33,160,0,120.5640250210248
235.8,33,160,0,120.83088158588603
236,33,160,0,120.8973651602665
236,33,160,0,120.8973651602665
236,33,160,0,120.8973651602665
236,33,160,0,120.8973651602665
235.8,32,160,0,120.63348707783035
235.4,32,160,0,120.5007436874289
234.6,32,160,0,120.23416691705071
233.4,31,160,0,119.63954068779807
231.6,31,160,0,119.03197245594352
230,31,160,0,118.48583608976696
227.8,31,160,0,117.72558042472667
225.6,31,160,0,116.95457148909426
223.4,30,160,0,115.99813555842276
221.6,30,160,0,115.35375374636132
219.8,30,160,0,114.7024302277713
218.8,30,160,0,114.33760542781685
218.2,29,160,0,113.95437227545227
218,29,160,0,113.881276017609
218,29,160,0,113.881276017609
218,29,160,0,113.881276017609
218.2,28,160,0,113.7931184980758
218.4,28,160,0,113.86576011963278
218.6,28,160,0,113.93832034010906
218.6,27,160,0,113.77836177151701
218.2,27,160,0,113.63389739456737
217.6,27,160,0,113.41660203077151
216.4,27,160,0,112.97986564090853
214.6,26,160,0,112.16906216302353
212.4,26,160,0,111.35772362491608
210,26,160,0,110.4622715234222
206.8,26,160,0,109.25194556014654
204.2,26,160,0,108.25517780522738
200.6,25,160,0,106.73817328053283
196.4,25,160,0,105.08979449385815
191.8,25,160,0,103.25471257764478
186.8,25,160,0,101.22829135014433
181,24,160,0,98.7778173861372
175.6,24,160,0,96.5435641007894
171.4,24,160,0,94.79153302575712
167.2,24,160,0,93.03047684586059
163.2,24,160,0,91.34788728019859
158.8,24,160,0,89.49446212351904
155.6,24,160,0,88.14695936917349
151.4,24,160,0,86.38170223086667
147.2,24,160,0,84.62329457194926
143,25,160,0,82.82275414914498
139,25,160,0,81.15818543980834
135,25,160,0,79.50852298766841
131,25,160,0,77.87626175221061
127.2,25,160,0,76.3438556384831
123.6,25,160,0,74.91020550614185
120.4,25,160,0,73.65182845264876
117.2,25,160,0,72.40945664015261
114.6,25,160,0,71.41239848451343
112.4,25,160,0,70.57772717373891
110.8,25,160,0,69.97601173012303
109.6,25,160,0,69.52772048025808
108.4,25,160,0,69.08203290143658
107.6,25,160,0,68.78636963191282
107.2,25,160,0,68.63897983874743
107,25,160,0,68.56539587058197
107,25,160,0,68.56539587058197
107,25,160,0,68.56539587058197
107,25,160,0,68.56539587058197
107,25,160,0,68.56539587058197
107,25,160,0,68.56539587058197
107,25,160,0,68.56539587058197
107,25,160,0,68.56539587058197
107,25,160,0,68.56539587058197
107,25,160,0,68.56539587058197
107,25,160,0,68.56539587058197
107,25,160,0,68.56539587058197
107.2,25,160,0,68.63897983874743
107.4,25,160,0,68.7126378032455
108.4,25,160,0,69.08203290143658
110.6,24,160,0,70.03719193480148
114,24,160,0,71.31264849478885
118.8,24,160,0,73.1462784387422
123.6,24,160,0,75.01615258438034
129.2,24,160,0,77.23944335752176
135,24,160,0,79.58397169242929
140.6,24,160,0,81.88169418253406
144.6,24,160,0,83.53961395990666
149.6,24,160,0,85.62706872311888
154.2,23,160,0,87.57578688946539
158.4,23,160,0,89.33088263040767
162.4,24,160,0,91.01099705233041
166.4,24,160,0,92.6942842898561
170.4,24,160,0,94.37293127688112
174.2,24,160,0,95.96075504449092
177.8,24,160,0,97.45662142629934
181.6,24,160,0,99.02454062622272
185.4,24,160,0,100.57895141690699
189.4,24,160,0,102.19829315859717
193.6,24,160,0,103.877529803208
198,24,160,0,105.61098853367966
202.2,24,160,0,107.23880914779643
206.4,24,160,0,108.83843355798076
210.2,24,160,0,110.2599934470422
213.4,24,160,0,111.43730801043239
215.6,24,160,0,112.23589897996784
217,24,160,0,112.73941778342999
218.4,24,160,0,113.23925465125853
219,24,160,0,113.45233455673852
219,24,160,0,113.45233455673852
219,24,160,0,113.45233455673852
219,24,160,0,113.45233455673852
219,24,160,0,113.45233455673852
219,24,160,0,113.45233455673852
219,24,160,0,113.45233455673852
218.2,24,160,0,113.16807616564746
216.2,24,160,0,112.45214124246199
213,24,160,0,111.29115521972622
209.8,24,160,0,110.11154186727056
